STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GISJOIN,STUSPS,SHAPE_AREA,SHAPE_LEN,97LogitT_5,98LogitT_5,99LogitT_5,00LogitT_5,01LogitT_5,02LogitT_5,03LogitT_5,04LogitT_5,05LogitT_5,06LogitT_5,07LogitT_5,08LogitT_5,09LogitT_5,10LogitT_5,11LogitT_5,12LogitT_5,13LogitT_5,14LogitT_5,15LogitT_5,16LogitT_5,17LogitT_5,18LogitT_5,19LogitT_5,state_name
1,73,1100,5,10730011005,Block Group 5,G5030,S,2619268.0,0.0,33.537351,-86.8969912,G01007300011005,AL,2619263.99406,7659.05380898,1.049436069773149,0.79342498235908,0.771385578782314,0.788126352661088,0.755951263738829,0.740498447724033,0.986164044119473,0.987038122905904,1.923214684392082,0.994510649954589,1.030072913378124,0.891744527374072,0.894877736079802,0.898863080605489,0.915134837907583,0.930416609007381,2.102874816948735,1.870221533726945,1.066410645005448,0.12414748699882,1.48206419055489,1.476202411258597,1.483128937062714,AL
1,73,3300,1,10730033001,Block Group 1,G5030,S,665257.0,0.0,33.5144884,-86.8858824,G01007300033001,AL,665260.304665,4524.38990224,19.13160433500604,16.48868584006154,16.3668829533524,15.855558688585695,14.743531212247545,14.210168996048967,12.86399708112508,16.34044495179038,14.19900749921698,11.890309169045349,11.789927914255276,11.742482100873437,11.847601808036398,10.287607172491738,11.279654481411344,12.370135646477523,14.75393096340756,14.9009947200668,13.84412826012032,11.420955928224672,9.864998191082622,9.054911690131464,9.876980338760164,AL
1,73,3802,3,10730038023,Block Group 3,G5030,S,1043587.0,0.0,33.4836799,-86.8863524,G01007300038023,AL,1043583.06154,8109.4512449,14.915861825407053,14.137391403609344,17.179248870895034,15.066025604021457,15.167163518197878,15.386761538946486,12.68677261525806,13.026616815175728,14.097677342212965,14.115254881024342,13.614284541751298,12.63958710585396,11.061927411101182,9.382683730210749,10.302011859124802,11.600108974181817,11.668625644241322,14.281256223281922,13.166186747987023,10.675592744637967,10.490639160815464,10.491845081021244,10.751113834353818,AL
1,73,3700,2,10730037002,Block Group 2,G5030,S,621916.0,0.0,33.4933395,-86.8852775,G01007300037002,AL,621916.773946,5019.62123675,33.00416283893094,32.10015292447105,36.12820834665714,33.45142684661381,30.485870880561848,32.56798163995096,31.17252090355916,33.8438008652036,34.81673228965552,34.31196832300239,29.93027962135762,26.720523555372537,29.66441229839,23.91259782149407,24.813869516160725,27.044179741356892,34.36666186241873,40.13886034582337,33.075067753648604,27.449887042533923,25.25326350895838,23.08943518385203,24.13751037869716,AL
1,73,3100,2,10730031002,Block Group 2,G5030,S,383683.0,0.0,33.5073954,-86.8693332,G01007300031002,AL,383687.97762,2680.54606711,12.50128291889534,13.679754228204654,11.63295772656366,14.299958990387674,10.466709440997205,11.169321204901816,12.151812052119793,10.969920164307045,12.13119769855556,10.454786274997268,9.573024047314137,10.620739096541298,11.488855979198483,8.966268281456571,9.716074602221203,10.395788520190475,22.53963542740843,15.070651378451297,13.4813589728712,11.700489489068048,12.889607763956008,11.598168917639892,12.977935261875968,AL
1,73,3100,3,10730031003,Block Group 3,G5030,S,637357.0,0.0,33.5019913,-86.8740593,G01007300031003,AL,637349.97801,4429.9573792,32.06134172396665,31.376194520940594,31.925615411878315,30.82567306084521,28.94778423732084,27.147555107471472,29.828495510977753,31.431077963827452,33.54929294761986,32.255539783950496,28.683704748337963,26.738700136256707,29.05904901554287,23.198716801430187,27.665998367931863,29.170722096000347,42.287202268182114,38.04870503814474,32.07763119387721,29.668303960963257,33.3978413732327,26.76247279587652,27.706355167396687,AL
1,73,1100,4,10730011004,Block Group 4,G5030,S,1262017.0,0.0,33.5354097,-86.8729133,G01007300011004,AL,1262016.76039,5133.52109328,6.277958434597618,5.126426770703958,4.028226988348319,4.518231120743376,4.843673202243152,4.351903895125789,3.72706340271675,2.829979410148365,3.537168743958593,4.023788613719653,3.70734196713815,2.302837192229928,2.345088831041766,3.324703862539621,2.862611244152059,3.003234391088252,5.00657823638746,4.875052230027988,4.907482452580416,4.3806658112284,3.781946114403245,3.347488381168808,3.893873824606053,AL
1,73,3001,4,10730030014,Block Group 4,G5030,S,453558.0,0.0,33.5087328,-86.8617932,G01007300030014,AL,453558.421256,3218.42406619,14.028594818493955,13.904942706898256,13.251717330963745,19.3888615212309,16.10854372902127,14.608431737225674,15.545938976939317,14.398638402982227,15.263357612998476,14.713703083844386,12.948191844312216,13.806282965834043,14.39544923296078,11.600246089042802,13.952669996870355,16.734651432829764,27.38542997615116,18.546489098902015,17.361451452099637,14.369317264756232,14.515710527881472,14.70889974600451,16.346912074809484,AL
1,73,5200,3,10730052003,Block Group 3,G5030,S,515902.0,0.0,33.4783992,-86.8613398,G01007300052003,AL,515902.839164,3100.02936953,13.92336459127605,11.927905308610653,11.332271880322184,12.627366802310725,11.407694392612854,10.716556191265555,10.736871376222814,9.012629854688434,14.493287293150042,10.461547636537007,11.974273545020534,13.85510927363673,12.321846866554118,11.36673253546478,10.894527206498225,10.429527987162626,25.319711866517963,21.43629745403649,18.415598883692834,15.709693132768097,15.618113849387056,14.901585817977354,11.403772777482011,AL
1,73,1200,2,10730012002,Block Group 2,G5030,S,3830056.0,80966.0,33.5253959,-86.8656989,G01007300012002,AL,3911019.85085,8087.0559337,0.399291841771951,0.359444462222779,0.345484962619165,0.327462089461936,0.375294833082014,0.395546351472832,0.503808098264138,0.451405764182696,0.451795955441977,0.31643798360349,0.545888390426549,0.572932791250984,0.531393653282983,0.513705006932643,0.275509174571698,1.244374869291041,1.487455650607982,1.357747370110898,1.247650984252031,1.160631962716586,1.150474576122254,1.199443958852581,1.18749903853525,AL
