STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GISJOIN,STUSPS,SHAPE_AREA,SHAPE_LEN,97LogitT_5,98LogitT_5,99LogitT_5,00LogitT_5,01LogitT_5,02LogitT_5,03LogitT_5,04LogitT_5,05LogitT_5,06LogitT_5,07LogitT_5,08LogitT_5,09LogitT_5,10LogitT_5,11LogitT_5,12LogitT_5,13LogitT_5,14LogitT_5,15LogitT_5,16LogitT_5,17LogitT_5,18LogitT_5,19LogitT_5,state_name
25,21,400800,3,250214008003,Block Group 3,G5030,S,182679.0,0.0,42.3392646,-71.1221424,G25002104008003,MA,182680.038485,2230.30654198,136.255910139735,134.82854033309633,135.37078191577956,136.01589061935005,135.6867172223582,136.4761856720445,137.50691392025817,137.09225530002965,137.26771769398016,138.0036123005529,138.49905753812683,138.4960354374251,138.2304642100897,137.31674127198306,137.17764437611876,138.83658773856322,140.17323145258212,139.87731860454755,139.9159369663696,138.90472196969597,138.69968698439777,136.9119440639424,137.27774852642366,MA
25,25,130406,2,250251304062,Block Group 2,G5030,S,650882.0,0.0,42.2617617,-71.1513818,G25002501304062,MA,650881.797442,3783.66591302,11.975232259257522,8.88030200608382,11.41465065378835,11.27293235068202,11.710397801658887,11.824540724123674,12.394539456628353,13.271592356404252,15.42589438948658,13.626281847064629,14.124106475101316,14.937720529354968,13.403486689557877,15.916456958851462,16.886742135877462,17.898762239301828,16.09273710251501,17.45463818517644,14.668943405441093,12.512410392324451,13.4413945297518,13.435790020024108,16.314477323770234,MA
25,25,110501,1,250251105011,Block Group 1,G5030,S,154010.0,0.0,42.2839884,-71.1393253,G25002501105011,MA,154008.751504,1754.08524523,45.171212936009674,42.957789119787726,44.26505771722463,45.07164714522187,46.65995062582716,46.30818420718379,52.41824596030842,52.424100833901385,57.23002752790353,56.53699727023253,57.460274322105576,54.53762804446547,55.44212493290956,54.02333470811312,54.71772347970983,55.30297364632223,57.50173015414252,61.24010309872616,59.55810430271552,55.89212901273813,52.649566016679486,49.920033976003815,57.83614590547202,MA
25,21,402102,1,250214021021,Block Group 1,G5030,S,430674.0,0.0,42.2546235,-71.1515883,G25002104021021,MA,430673.689398,2715.13067561,32.27794673974891,27.37662787124083,26.628076129950554,25.697141222504225,26.30652284070005,21.32238272128692,14.216144344650694,14.422083431138931,18.672838572107175,14.376789878929044,15.91087839017324,16.79111171852011,17.92215622430277,19.98047437521102,20.09356522646515,22.87968195903481,18.214440931043956,21.828760600552027,16.71715464875858,13.626660407740925,25.167667740370213,18.35102144532472,24.81583332071362,MA
25,21,400100,4,250214001004,Block Group 4,G5030,S,355229.0,2302.0,42.3467874,-71.1126093,G25002104001004,MA,357531.178652,2793.82283503,85.43869991600533,86.28141037614695,84.73543497826861,83.39219528523837,88.15553644610998,88.90076597920925,91.97381195898011,91.09631850313221,90.58416079951925,94.30395496046093,96.13163297537456,91.59914799823709,94.16836843892912,96.67336633313472,97.44672748276216,101.2220161786072,101.34149057107464,100.6597486714155,99.19703734612885,96.9605622863402,96.49773069479359,93.52678335249637,92.92622041006511,MA
25,21,400800,1,250214008001,Block Group 1,G5030,S,163446.0,5033.0,42.339778,-71.1151243,G25002104008001,MA,168478.941265,2515.42657872,100.44054542504767,100.60646474384916,98.23536140404875,97.17245503849384,102.23015835557992,101.79726656278616,102.24931522524825,100.57837320353772,100.96121442661607,102.27709523820288,102.5459815957594,102.39015680743412,100.26296614570101,99.63688896262293,100.38753200366224,103.25588952322973,105.98830711858048,104.81555806030592,106.58320229305676,108.55306691264462,107.2998936064687,103.43274525563788,105.26007979473296,MA
25,21,402300,1,250214023001,Block Group 1,G5030,S,361524.0,0.0,42.2327383,-71.1525828,G25002104023001,MA,361522.355073,2394.2258773,5.68328682652108,5.756935553772076,6.79657114048288,5.998027811172492,6.352566562886704,6.088269754876556,6.375276164184434,5.363812529514362,6.121271941609354,6.147304597791532,6.814038903314252,5.492014562024386,6.1102650481137,6.076703144692932,6.951347480035124,8.468696306116954,8.638573187661397,9.76786186200042,10.827206787395092,10.01731840215666,8.989497893773619,8.663204369335151,9.636650576742907,MA
25,25,110502,2,250251105022,Block Group 2,G5030,S,312442.0,0.0,42.2818632,-71.1309263,G25002501105022,MA,312442.310799,3051.53758889,63.755316359784445,58.0338327014448,61.17428784691679,64.39416709304234,69.73542536095948,72.14770116294667,76.53853449523125,76.543258156473,77.22714653327067,80.72985278894936,80.25529084185722,75.02114932185509,76.30143874722191,71.36413609550466,72.65026415928087,78.40524197725283,83.00824974309482,88.6546919750649,88.10277860330733,81.71005680502132,77.07386752199368,68.44282471940008,81.08637863235163,MA
25,25,120103,1,250251201031,Block Group 1,G5030,S,353248.0,0.0,42.3117567,-71.1182632,G25002501201031,MA,353246.683122,2395.58009597,61.175975688908146,60.91909245384667,60.1603448654431,59.99690664411764,68.70277076625472,71.07964276006454,68.09347009874246,62.16535938009643,66.41490848399303,72.91806805922172,78.18267099560356,69.61727853834874,68.5739020938971,67.08315477847252,66.84987978416788,86.65186956885053,92.41656090610819,87.15830666785676,89.51244892776515,84.30724593179725,80.19610588574062,75.39267253272735,82.12627317714329,MA
25,25,110401,1,250251104011,Block Group 1,G5030,S,213720.0,0.0,42.2888903,-71.1221536,G25002501104011,MA,213720.659842,2156.97693697,53.76302465485697,51.51660896092443,55.43213352948259,56.86465472561858,65.94093712403726,67.35598471141671,72.21589474269265,68.81406788581265,71.77432503353475,74.53569181297581,73.13659458383665,67.22206277845183,70.76176850669262,68.79004306917793,69.59305781049578,76.81911726799169,77.22808687339139,83.48540675975954,85.61450506364355,75.96360409581051,74.68034347946409,66.28372950362208,75.48408075077124,MA
25,25,80900,3,250250809003,Block Group 3,G5030,S,106856.0,0.0,42.3327698,-71.1035101,G25002500809003,MA,106856.833429,1497.66115007,81.926271036481,79.96114945667405,75.97406115669766,74.68155914810163,83.51984563329036,86.91145833416799,90.3045801759403,90.6477715375579,89.16599517271473,90.18742590876681,98.09472260370262,93.82344293209738,96.94604826510894,94.7529937334652,102.2650782016596,114.25553904207185,113.26446113937325,119.33518929056468,116.20935136140496,120.075449088055,119.05287834671942,115.67719835038996,121.22594442402084,MA
25,13,800201,4,250138002014,Block Group 4,G5030,S,360839.0,0.0,42.1338087,-72.5646283,G25001308002014,MA,360839.777168,2852.4613326,25.377624484318133,24.54109020741438,25.14913378646925,22.786170679867368,23.117533893577875,22.35688869804085,25.86456682633685,26.603843597180468,24.790544368829295,25.97145830841359,26.266202922622973,23.487747425083644,22.732097550442845,26.346514204010383,28.16396099927607,33.057066622082,37.45641569580495,36.16854463315827,35.848765281319785,35.750768449343795,33.73214258906173,27.948141517958305,30.175631245948413,MA
25,13,801800,5,250138018005,Block Group 5,G5030,S,198079.0,0.0,42.103034,-72.5649477,G25001308018005,MA,198079.894289,1784.64159382,26.80897143314896,24.18716762702368,26.04897226707636,26.150929800789495,26.644059982595387,22.028808035972514,29.592118405599248,29.869313131822388,33.104214257821,29.718965136456504,30.09734008667168,26.75577150924679,26.961063325158808,30.73612602974673,33.2202762422578,37.63791941895877,37.54942781835556,40.737510675918664,39.64968488219657,40.35764213025212,34.112289043653554,33.69565365060403,37.973803918090375,MA
25,13,801501,3,250138015013,Block Group 3,G5030,S,481338.0,0.0,42.1273282,-72.53453,G25001308015013,MA,481338.313597,4006.7595754,27.39316081739256,22.97322110793356,22.413678803907217,23.378085160576106,24.41422084733608,24.487314699025656,24.717953340364463,27.84844413952184,27.555362951959964,26.325106437297936,26.10760892742493,21.748974938338616,23.156517562783023,21.016768224200018,21.443057162007495,26.73983385065334,26.254314596816165,23.964990645751865,22.96734763135651,22.936098543026713,23.752168056459556,24.805189087848735,27.446849840552904,MA
25,13,802400,2,250138024002,Block Group 2,G5030,S,314454.0,0.0,42.0999451,-72.5352997,G25001308024002,MA,314454.61476,2555.78224563,4.669563321733652,6.70301522090806,5.95485836429132,5.406545023405682,3.998695265009244,5.825454360461218,4.77624759075421,4.323770519781059,4.33048626688412,3.257515354660982,3.940183116799567,3.603135541929407,5.278171202128956,5.120638289264504,5.35708289912511,9.50692690011682,9.854659133993598,9.022713091179575,7.995024195870532,9.669319134417242,8.445050538926436,7.46152731250002,7.812682354291956,MA
25,13,800101,1,250138001011,Block Group 1,G5030,S,763953.0,136840.0,42.1468065,-72.5112926,G25001308001011,MA,900794.042783,4554.55993765,13.600890711297778,12.014079785420364,14.787839155827914,15.016644152266023,11.681216157864386,11.69433966825676,11.069734103794712,10.56618473195674,10.497344124745432,10.71374049716056,11.271616311522616,8.397176401329794,11.38831379872386,12.32959030557349,13.255324742938882,15.417481100513593,16.767790399805637,17.313382814864273,17.793468961069795,16.04384936722611,16.45159619466683,12.094865645808776,11.891041932335664,MA
25,13,802500,1,250138025001,Block Group 1,G5030,S,725720.0,5518.0,42.0977155,-72.5229873,G25001308025001,MA,731237.693781,3765.6783373,8.609237054751116,7.761660616200476,8.869651862466572,10.212288634520856,7.69549235079623,8.309841631024964,9.486701021999982,8.528310369033044,7.287138412320882,6.125937135314312,7.487043759336064,6.449982724747862,7.59893223897119,7.50915291477479,7.819216605344718,9.07057358689358,11.33328046957053,10.28225922632948,10.067850173314373,11.362154343881633,10.100176111558422,9.2914898977209,9.215171648120457,MA
25,13,800102,2,250138001022,Block Group 2,G5030,S,399250.0,153591.0,42.1599335,-72.4970663,G25001308001022,MA,552841.073867,5362.95041725,27.9271653954325,32.76092573944101,32.12440901890547,32.82707779846079,27.662653585675734,32.04057450321161,34.040444027743426,33.319356940162386,36.27357333117431,33.688685650146624,32.9437277732205,30.322862776289956,30.001009188249967,29.641927323886453,30.0800943819661,38.479266618178585,41.128329137804066,43.49419034311537,42.169907091488184,38.10861604453707,34.1498887246943,30.32619116488645,33.19761053102411,MA
25,11,41000,1,250110410001,Block Group 1,G5030,S,8465569.0,1081.0,42.5969732,-72.6386134,G25001100410001,MA,8466650.99375,15277.9483739,4.936732670236362,4.564079844529192,4.538347150529586,4.932194705234546,5.28694147728905,6.144162796780926,6.605551626316332,6.067359405154714,4.599149810367256,3.036331384266938,6.98132870047559,5.864946299100762,5.522530057456438,4.253980450549775,4.483600226562756,5.895044615249494,5.78819990696036,5.134504238754682,5.795290599396616,5.83706901175086,6.786714310040586,6.81496434981308,7.101353657850238,MA
25,27,736400,2,250277364002,Block Group 2,G5030,S,2678892.0,17630.0,42.2140973,-71.807243,G25002707364002,MA,2696519.79336,7860.90751408,0.925705341749518,2.232865244481067,1.158996178245073,1.292854169798657,2.04133330321957,2.902904000571674,2.717527298189145,2.789395579170647,2.996558944008996,2.361132407566669,3.007049556344019,2.818008952452696,2.143434983695073,2.137390308339088,2.201523178217574,2.444351669621027,2.408501313147552,1.951789729360351,1.889723723367466,2.268030750309419,1.638443056793219,1.635423744309747,2.442554140996374,MA
25,27,753100,5,250277531005,Block Group 5,G5030,S,20782121.0,1061141.0,42.1250396,-71.8323282,G25002707531005,MA,21843268.7089,27360.0143893,0.024262658299008,0.000848541482386,0.000863758775305,0.000954074897236,0.024440836829061,0.024471669412376,0.009477890488595,0.001177123339881,0.001216213851671,0.001121188869865,0.001125057570681,0.001037398929621,0.001358295651967,0.01041388483179,0.01942647596104,0.019695589725047,0.038261114294477,0.038246642678319,0.068952843706345,0.038179029477359,0.081073821270218,0.078913993717667,0.084558610250293,MA
25,27,737300,1,250277373001,Block Group 1,G5030,S,1765549.0,529026.0,42.2149058,-71.7457772,G25002707373001,MA,2294578.15662,8028.68673803,3.720710101594571,3.736509396105981,3.711478026465437,3.70131140531385,4.318738739900077,4.316110698730304,3.771956547547038,4.528162386506788,3.698876954345539,4.496099180964827,4.526908407428088,4.693314710129382,4.695255393333444,4.69752683313226,4.697761136221942,4.698279059765684,4.53830712589352,4.582598230368118,5.28379933925636,5.819256488277908,4.247355999056493,4.241064360369478,5.329930237873282,MA
25,27,737100,2,250277371002,Block Group 2,G5030,S,3326236.0,120480.0,42.1860543,-71.7419517,G25002707371002,MA,3446715.95415,10457.3619973,1.350911929488306,1.147841336603995,1.389379220459004,1.359918408899774,1.933705656981632,1.79235444546909,1.77442417589366,1.324407582497386,1.545626163630944,1.255321698745057,1.374516761726088,1.077306084616158,0.932152638029687,0.820350035825297,0.852890027320841,1.212288794645443,1.405547372934959,2.054041677739943,2.007324495892178,2.114130943237956,2.009267184112565,2.048563845208558,2.036098205523933,MA
25,17,383502,1,250173835021,Block Group 1,G5030,S,826715.0,18998.0,42.2952038,-71.4321361,G25001703835021,MA,845710.043058,3874.18759895,36.078750516332285,30.875044390863103,32.61826363273343,33.714839322297784,31.231614983902073,29.60325773443822,38.444872922455716,36.80552101326288,34.18312489450812,38.10769013961453,35.86565349586533,36.95458343040139,41.81007216840832,40.60169385292832,41.198405870491314,43.6406983721248,48.191497983675866,45.5705055084516,41.76443507257811,41.76895867979788,45.68108848110263,40.26618089907081,40.84206436119476,MA
25,17,383901,5,250173839015,Block Group 5,G5030,S,1230517.0,51245.0,42.3122225,-71.4330925,G25001703839015,MA,1281763.2649,5732.21255672,1.962103111534432,2.814768120015712,1.025438114866698,1.637280639947106,1.644866542236727,2.322587009758967,14.393923888257412,14.248347956779988,12.331046035903436,13.320685467150748,12.34645602547772,9.952461451195726,11.486731424070314,10.97579636278046,15.092857922465107,15.297771673994832,4.600882957001794,29.781023287571596,24.934841394113327,26.723242240329913,3.66607412912669,3.627684420626853,3.591219672944052,MA
25,17,383200,3,250173832003,Block Group 3,G5030,S,347015.0,655.0,42.2726085,-71.4228538,G25001703832003,MA,347669.876848,2760.83249378,43.23818544169659,37.318802933032465,44.397036225926854,38.23058918923683,41.02868575928436,45.98030924383907,48.578970158052805,43.35087543167292,45.50423410354137,42.39237986276241,40.293818492811766,37.73630624666279,42.31423905729796,42.96393453778966,44.05880467580963,48.951634090252426,47.869114927280606,47.737519103881915,46.530533344220025,41.95603040047363,43.42547389202373,44.293142896328234,45.35519420213033,MA
25,17,383800,2,250173838002,Block Group 2,G5030,S,795311.0,13889.0,42.337719,-71.4058064,G25001703838002,MA,809201.625742,6146.68104082,4.508167471265932,4.23242130134699,3.84048449241787,2.729688369505005,5.01974106082263,3.952143283473131,3.850249322703769,4.302141590279239,4.808387975430282,3.913318895167123,5.086216985297956,5.10824344316799,5.012318680160622,5.020001647812506,4.301039975965821,5.336384007453236,5.063628603253542,4.562504227546442,5.503430011349238,6.05643540294173,4.872657987414994,5.180271729139802,5.522288997495794,MA
25,17,365201,1,250173652011,Block Group 1,G5030,S,5865895.0,30311.0,42.3733553,-71.4111028,G25001703652011,MA,5896203.758969999,13226.8197953,2.419812533952729,2.47715569580201,2.547075639955071,3.769011710332204,2.8857593567725,3.078154289177068,3.531392503230357,3.676333600392143,4.758153197731866,3.682121400048751,3.78614571348384,3.785985994270463,3.682230231326411,3.692558522085486,3.440735032990855,4.393184879626043,4.47801158040771,4.074198005750841,3.872280547076947,2.956683998623653,2.760807476608582,2.643728023591526,2.738184662225987,MA
25,17,383400,4,250173834004,Block Group 4,G5030,S,493532.0,177480.0,42.2853798,-71.4184143,G25001703834004,MA,671011.263121,3455.17072059,48.95863948378894,42.61755428949991,43.270872217093334,43.351763920598955,43.78916583361792,48.5404023967807,52.83898793786453,48.77602903058939,48.400063844886105,42.459239028187696,40.3017333894312,42.596581015810266,50.27410204541593,43.25720960583888,42.41395987958978,45.70438210449595,58.7942819638168,51.474558302613886,51.751641213540395,42.58090671917203,41.454485918857586,42.56141043567543,41.57056717140519,MA
25,5,632100,1,250056321001,Block Group 1,G5030,S,8312294.0,46905.0,41.8805567,-71.3093334,G25000506321001,MA,8359203.18216,13725.0160756,0.007859362524951,0.526784775178125,0.008374411385227,0.007593265881059,0.013544489246764,0.013348103205259,0.013929319430209,0.015916636646251,0.020888231531434,0.025265362391647,0.016248697544867,0.020258999521079,0.019854588774272,0.020911735269231,0.016795834901579,0.731556625283536,0.728127147993168,0.922198217266444,0.036365771113886,0.035049306727363,0.099638824155094,0.028592457848103,0.026104394797386,MA
25,25,980700,1,250259807001,Block Group 1,G5030,S,2887913.0,53081.0,42.265018,-71.1400504,G25002509807001,MA,2940992.06095,12454.1185239,5.073611119662858,5.45021785404737,6.532993502307594,6.013715557760772,5.547613470182048,5.72186778714835,5.543690388285592,5.665403736665362,6.071024214277294,5.201711313272352,5.21244611319517,5.402997644022546,5.44173756872572,5.900167200806784,5.180004384696528,5.447803916917484,5.228790230708452,4.785366876284722,4.779991727279114,4.518055777640098,4.476669540095983,4.469086091226801,5.27257218930178,MA
25,25,110403,3,250251104033,Block Group 3,G5030,S,160789.0,0.0,42.2750974,-71.1243676,G25002501104033,MA,160788.092866,1821.89600964,20.652693846113515,18.62639268582791,20.59929979977231,22.04772716215802,24.077950217444343,23.251582400662105,23.03964525707716,21.759699255964943,22.312549807109978,22.94952267322821,22.505645028361915,23.13984488912892,23.759535716495776,21.39495947332298,20.927255132167947,24.876477596618777,26.009091623470436,28.98652918498805,25.363678982462588,26.806024422099885,27.401989728848857,25.00562335317121,27.9864709469128,MA
25,25,10408,1,250250104081,Block Group 1,G5030,S,43381.0,0.0,42.3431682,-71.0958461,G25002500104081,MA,43380.8149383,856.223525573,120.49574071555136,117.13591735503536,118.55085950356992,116.98417067630383,120.78664079395472,122.27400369348884,121.33124896683697,117.91935831571048,120.66234122231496,120.96222283544527,122.31698487474164,124.03454944739612,125.7833884768985,123.54025106471607,124.40104260198333,128.4217898532223,129.78002206202163,131.523073442888,132.54578344138133,132.06397967242123,132.31089821249927,130.90409631428864,132.67285314150848,MA
25,25,10203,4,250250102034,Block Group 4,G5030,S,113191.0,0.0,42.3459918,-71.0966301,G25002500102034,MA,113191.15643,1685.66638477,133.24461067399767,128.4278044080206,128.6583349576102,126.61341699974668,129.7147931628729,130.9482461658341,130.3706164812596,127.33937142389856,131.5562749947034,132.8650167351678,133.47527881166235,135.6080491758922,136.9679022079128,133.95201804333902,134.31328517896011,138.27326511584496,140.05310348123692,140.29242670210283,140.90156727317682,140.64524357304535,141.1508694770955,140.64820783300567,141.31501159617932,MA
