STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GISJOIN,STUSPS,SHAPE_AREA,SHAPE_LEN,97LogitT_5,98LogitT_5,99LogitT_5,00LogitT_5,01LogitT_5,02LogitT_5,03LogitT_5,04LogitT_5,05LogitT_5,06LogitT_5,07LogitT_5,08LogitT_5,09LogitT_5,10LogitT_5,11LogitT_5,12LogitT_5,13LogitT_5,14LogitT_5,15LogitT_5,16LogitT_5,17LogitT_5,18LogitT_5,19LogitT_5,state_name
30,21,300,3,300210003003,Block Group 3,G5030,S,817596.0,0.0,47.1046441,-104.7087153,G30002100003003,MT,817591.112436,4206.43878466,43.82506488005296,46.43136864414728,40.76812669617555,34.69353789428436,46.774524755251974,51.73466741899102,42.02209764212668,41.8875711261562,38.24987553587202,37.350733912815315,42.190866301454065,38.98043204694442,36.02891478958079,34.99643039830633,33.96251641347706,36.566993328777635,35.028924926515586,42.531784131352104,45.64943187597382,43.91422879960079,43.79783316268295,38.14659272214646,38.06373332527169,MT
30,83,70400,1,300830704001,Block Group 1,G5030,S,105556028.0,7130494.0,47.7110802,-104.111805,G30008300704001,MT,112686537.493,60458.9496178,1.7940804e-08,2.3247984e-08,3.3815931e-08,3.8242482e-08,2.3576213e-08,3.5908564e-08,3.4847645e-08,3.3248066e-08,3.6073648e-08,6.7805381e-08,8.2766701e-08,9.5747515e-08,9.5326791e-08,8.4220983e-08,5.0602928e-08,9.3283022e-08,3.11903472e-07,1.07569361e-07,1.21038934e-07,2.4388316846e-05,2.051089657e-05,2.0365047131e-05,2.0366920111e-05,MT
30,91,90200,2,300910902002,Block Group 2,G5030,S,282325552.0,3308354.0,48.9132237,-104.4506951,G30009100902002,MT,285633778.527,92362.7255525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MT
30,23,400,3,300230004003,Block Group 3,G5030,S,284778.0,0.0,46.1297007,-112.9578888,G30002300004003,MT,284775.690038,2392.65538221,53.59361668465114,44.103303081572854,42.88972308492433,50.517309222491264,48.4358039893736,46.56769872229256,42.06382700641264,43.64947237988975,44.589078108126834,42.52304674777922,38.91710964291443,39.59390637678622,39.786059220600265,36.12520188202473,34.3122487058781,33.9525001344117,35.37938559283987,41.83538741767412,35.94167673382504,35.25311645115245,36.994106675992704,39.63409152080525,41.25557256958206,MT
30,23,400,2,300230004002,Block Group 2,G5030,S,1208484.0,0.0,46.1326673,-112.9638284,G30002300004002,MT,1208487.25997,6461.76915402,16.20063918350953,13.022357462899688,12.835634713465668,14.994707854406618,15.594865777775588,14.966463645236054,14.03693682660908,13.58443934317358,15.047181886584362,14.540431978499864,13.085825016471691,12.207147259787552,12.79372561629566,11.34006895710511,12.140275523404927,12.76974152288067,12.639142646941504,15.153890084419736,14.065039071954187,14.26220292405722,14.69486530989234,15.669162954608268,16.273676010368497,MT
30,93,100,4,300930001004,Block Group 4,G5030,S,570246.0,0.0,46.0129916,-112.5369532,G30009300001004,MT,570246.375405,3987.42427975,76.13606634939697,82.3999003137422,76.17113359015188,72.15345254536238,70.8679096496341,79.67351244305226,86.83058245112804,76.44388202978043,80.20049312359022,75.68845845739398,73.66572541359254,76.39397575702819,69.78553393767524,71.55503725221342,75.04754429597918,77.93932975312366,83.77576688135656,97.58741996030278,89.90956452604472,86.53456838421853,88.64574254213247,92.87715319106104,92.96880057329413,MT
30,93,300,3,300930003003,Block Group 3,G5030,S,433184.0,0.0,45.9919506,-112.5219022,G30009300003003,MT,433182.929968,3066.64252095,34.28019735584938,33.60287897044388,30.083502945425018,28.851989151508615,31.27675085199396,26.648093669860284,42.77298645714085,40.62133579598753,40.832669967685995,36.836177169044035,32.63446524191574,30.734774465624287,32.57854876045283,29.449855671421947,33.96202475534904,31.96624470798528,38.03372501808864,46.25885937505834,43.99743469786719,49.66174773408022,29.30359001166452,28.178264670388103,30.81673074495176,MT
30,93,300,1,300930003001,Block Group 1,G5030,S,1252567.0,0.0,45.9966597,-112.5262628,G30009300003001,MT,1252573.5962,5350.190994,36.01902081658186,33.39181978862652,29.13475949109416,29.918299888654783,33.93457847337545,30.26938241898739,46.170360718657385,41.53183151355359,42.55053883598529,37.186818225930274,35.73386825600019,36.48280278590667,36.38360549071151,34.08154342787003,38.357631983012695,35.18478766359388,39.67787316852859,52.51801298028105,50.59070862039198,54.27576307895211,35.47435065370975,29.940206862360487,31.772817257819167,MT
30,43,962202,2,300439622022,Block Group 2,G5030,S,1171596477.0,202678.0,46.2808663,-112.3017911,G30004309622022,MT,1171775338.62,210298.01647,3.1851064682e-05,0.0,0.0,0.0,1.5925532341e-05,3.1851064682e-05,0.000111478726385,9.5553194045e-05,9.5553194045e-05,9.5553194045e-05,0.000111478726385,9.5553194045e-05,9.5553194045e-05,9.5553194045e-05,7.9627661704e-05,6.3702129363e-05,6.3702129363e-05,6.3702129363e-05,6.3702129363e-05,4.7776597022e-05,4.7776597022e-05,3.1851064682e-05,6.3702129363e-05,MT
30,43,962300,2,300439623002,Block Group 2,G5030,S,291734543.0,237387.0,45.8430388,-112.2391976,G30004309623002,MT,291971949.114,89563.0680662,0.0,0.0,1e-15,1e-15,1e-15,1.24093916e-07,1e-15,1e-15,0.0,0.0,2.246167e-09,2.246167e-09,1.3e-14,3.7e-14,2.4e-14,2.4e-14,2.912e-12,3.1e-14,3.1e-14,3.2e-14,7e-15,7e-15,7e-15,MT
30,43,962300,1,300439623001,Block Group 1,G5030,S,1508350898.0,5402046.0,45.9738187,-112.038348,G30004309623001,MT,1513806245.13,237204.591391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.34e-13,6.6e-14,6.98e-13,6.6e-14,0.0,0.0,0.0,MT
30,57,100,2,300570001002,Block Group 2,G5030,S,1046336460.0,18275899.0,45.453942,-111.5908452,G30005700001002,MT,1064623733.0,189003.959207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MT
30,7,200,1,300070002001,Block Group 1,G5030,S,1463814688.0,59236247.0,46.2173131,-111.6209986,G30000700002001,MT,1523042614.2000003,228860.369894,0.0,0.0,0.0,0.0,0.675622689390446,0.675622689390446,2.04103918e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MT
30,49,700,3,300490007003,Block Group 3,G5030,S,525669.0,0.0,46.5998412,-112.0583068,G30004900007003,MT,525672.151638,3026.33375872,15.722007463268024,14.880273312570525,14.249482231823194,17.60561754438491,16.515753832036648,19.718366309564356,17.525580948363725,16.821964513416425,18.90387207319284,16.25725647187962,16.876638203268723,16.704303120750517,15.974637607505086,15.099531500053637,16.000285077857672,18.542825733066643,21.286086849681872,27.12010635156683,26.365520990957737,23.808321021392825,22.189703373914007,19.371358692132397,19.598078718460595,MT
30,49,800,4,300490008004,Block Group 4,G5030,S,420867.0,0.0,46.5885049,-112.0354916,G30004900008004,MT,420866.385746,2829.96560044,88.16910425340119,81.52579524084219,80.14582849921615,76.04248093998696,81.82396469909378,91.15394107825226,98.66320106873766,99.810643419166,93.78636757202514,90.03551495844478,82.8766386958438,78.00277533052959,81.69821185101057,85.77411486461456,86.95264317655835,95.52963490965472,102.1936991813676,111.90298656705168,103.76332895041206,92.79229754001173,82.5517783111835,87.97734777292212,86.67985569164706,MT
30,49,900,1,300490009001,Block Group 1,G5030,S,734278.0,0.0,46.5967153,-112.0102965,G30004900009001,MT,734275.265663,3738.11115039,46.340476970205934,42.41877003196788,47.30323945682252,46.87026687521523,48.749357780882875,49.309708844990865,50.931036154428945,49.66418887985369,49.821590517761905,46.96362121971354,50.42665822799428,46.34064241038281,48.23225614929441,42.71259231005367,40.826688899992554,46.601773581821,45.82372907490766,51.375074308758784,49.60379309615395,49.056441653932296,47.79561286412771,46.46952950191022,43.968831950230125,MT
30,49,400,3,300490004003,Block Group 3,G5030,S,3067868.0,0.0,46.6603705,-112.0164888,G30004900004003,MT,3067865.55335,10421.6457626,1.999782378882019,1.476924282558526,1.476743256327143,1.476667176879763,0.992542941167166,0.996898213906502,0.981648036337551,0.976707783160107,0.986800711307009,0.986739676360327,0.829897345591416,0.930743877186817,0.930743736800192,0.10792535828974,0.107918014019061,0.450617991776984,1.4542047979371,1.477144910836478,1.478073179111965,1.814379380558239,0.682266144645995,0.71607695321877,0.500857179359622,MT
