STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GISJOIN,STUSPS,SHAPE_AREA,SHAPE_LEN,97LogitT_5,98LogitT_5,99LogitT_5,00LogitT_5,01LogitT_5,02LogitT_5,03LogitT_5,04LogitT_5,05LogitT_5,06LogitT_5,07LogitT_5,08LogitT_5,09LogitT_5,10LogitT_5,11LogitT_5,12LogitT_5,13LogitT_5,14LogitT_5,15LogitT_5,16LogitT_5,17LogitT_5,18LogitT_5,19LogitT_5,state_name
46,27,965800,4,460279658004,Block Group 4,G5030,S,317105607.0,3229152.0,42.8445328,-96.9144546,G46002709658004,SD,320334763.541,103549.491157,1e-15,1e-15,1e-15,0.0,1.173e-12,2e-15,8e-15,5e-15,0.149664397461676,0.149664397461673,0.149664397461679,8e-15,5e-15,2.6833e-11,2.6838e-11,2.6839e-11,2.9293e-11,2.6845e-11,2.6629e-11,2.6628e-11,1.34e-13,1.68702e-10,1.68701e-10,SD
46,27,965800,2,460279658002,Block Group 2,G5030,S,93004897.0,49433.0,43.0464121,-97.0913012,G46002709658002,SD,93054330.4187,38598.1385596,2.555733765e-06,3.88950256e-07,3.88950254e-07,2.42733801e-06,5.83425934e-07,5.83425935e-07,0.010409304959109,0.010409159039078,0.010409304959357,0.006245641342405,0.006245641342405,0.008327473149135,0.004163809535675,0.002081997215933,0.006245660829392,0.004163829022663,0.006245698372617,0.008327492636122,0.00832734269544,0.006245495422371,5.33864379e-07,9.00727279e-07,7.77538765e-07,SD
46,127,20300,1,461270203001,Block Group 1,G5030,S,106009654.0,3372631.0,42.6124382,-96.6158899,G46012700203001,SD,109382294.125,54733.6414293,4.77e-12,1.0433e-11,1.1626e-11,1.1626e-11,7.353e-12,6.658e-12,1.30441e-10,1.28055e-10,1.28055e-10,5.963e-12,5.963e-12,4.77e-12,4.77e-12,0.000214945882016,0.000214945880823,0.000214945886288,0.000169355917271,0.000214945883209,0.000214945883209,0.000214945883209,0.000214810750878,0.000214810749685,0.000214810749191,SD
46,135,966200,4,461359662004,Block Group 4,G5030,S,31312353.0,2882813.0,42.8837464,-97.3299142,G46013509662004,SD,34195168.1118,25114.0088049,0.043294781108859,0.042902638958043,0.042768488674099,0.042901837261853,0.00013830600058,0.000136146592944,0.043278078078868,0.000513495303538,0.000513507144821,0.000513493729211,0.00051349366384,0.000137973097407,0.000137545597183,0.000272378779943,0.000163889502946,0.0005150114529,0.000466242658209,0.000560903456489,0.000393827976278,0.000529371684607,0.000980879750816,0.001013487806324,0.001013486217169,SD
46,9,967600,2,460099676002,Block Group 2,G5030,S,225232595.0,649827.0,43.0200504,-97.7598556,G46000909676002,SD,225882429.36500004,64228.5094123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.22e-13,7.22e-13,7.22e-13,SD
46,127,20200,3,461270202003,Block Group 3,G5030,S,2361579.0,0.0,42.6778254,-96.6756701,G46012700202003,SD,2361578.81534,6458.27560317,1.036950845724311,0.813413149517352,0.787170186147037,0.787170186147037,0.787170186147037,0.879792852033531,0.358035937290877,0.414789037510406,0.288351257141625,0.351569951916978,0.351765707533041,0.502837131300743,0.855898670695854,0.54474500995206,0.538083659780173,0.736686203103537,0.625540512244374,0.698442486054405,0.696858441888321,0.701243757239097,1.092000978689069,0.779495606828213,0.777654228486628,SD
46,127,20200,1,461270202001,Block Group 1,G5030,S,290393265.0,2508755.0,42.7384901,-96.7022945,G46012700202001,SD,292902029.249,119037.057865,6.408e-12,2.601e-12,2.371e-12,2.371e-12,2.371e-12,1.063e-11,7.08984507e-07,6.07702858e-07,6.07702585e-07,4.05139151e-07,4.05146944e-07,5.06421039e-07,4.05139254e-07,3.03865261e-07,4.05139254e-07,6.07710791e-07,5.06430263e-07,7.0901227e-07,7.09014977e-07,7.09004833e-07,3.3265e-11,4.0918e-11,4.0918e-11,SD
46,135,966301,1,461359663011,Block Group 1,G5030,S,13662871.0,2082218.0,42.8640815,-97.4533497,G46013509663011,SD,15745094.3762,16212.8834237,0.142458418843119,0.03586099392085,0.02852333319988,0.028519148307865,0.001877853503403,0.013547222918188,0.04898735453138,0.033194976602013,0.033196830677319,0.026379048042206,0.032285024437965,0.033622382736936,0.035106404602723,0.035063848182253,0.027807189227384,0.020380279633237,0.017864684829026,0.058074431410638,0.056270277960277,0.077776852711592,0.118884261771856,0.075746473470624,0.074521260253657,SD
46,23,940200,3,460239402003,Block Group 3,G5030,S,206860282.0,5697557.0,43.0180918,-98.4331941,G46002309402003,SD,212557858.408,67551.67458770002,6.070577e-09,6.070577e-09,6.070577e-09,6.070577e-09,6.070577e-09,6.070577e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SD
46,9,967700,2,460099677002,Block Group 2,G5030,S,316773440.0,13487515.0,42.8546216,-98.0087104,G46000909677002,SD,330260994.442,85249.0729986,0.0,0.0,3.58508348e-07,3.58508348e-07,3.58508348e-07,3.58508348e-07,3.5851011e-07,3.5851033e-07,3.5851033e-07,3.5851033e-07,3.58510551e-07,3.58510551e-07,3.5851033e-07,3.5851033e-07,1.542e-12,1.322e-12,1.322e-12,1.982e-12,1.101e-12,8.81e-13,0.0,0.0,0.0,SD
