STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GISJOIN,STUSPS,SHAPE_AREA,SHAPE_LEN,97LogitT_5,98LogitT_5,99LogitT_5,00LogitT_5,01LogitT_5,02LogitT_5,03LogitT_5,04LogitT_5,05LogitT_5,06LogitT_5,07LogitT_5,08LogitT_5,09LogitT_5,10LogitT_5,11LogitT_5,12LogitT_5,13LogitT_5,14LogitT_5,15LogitT_5,16LogitT_5,17LogitT_5,18LogitT_5,19LogitT_5,state_name
54,47,954000,1,540479540001,Block Group 1,G5030,S,36962616.0,0.0,37.3115855,-81.7932924,G54004709540001,WV,36962612.5489,29597.3804259,5.044054e-09,6.208302e-09,6.790426e-09,6.208302e-09,6.175791e-09,4.49444e-09,5.050375e-09,6.152192e-09,5.633201e-09,5.633201e-09,5.050375e-09,5.600691e-09,4.435038e-09,4.435038e-09,3.301896e-09,3.302189e-09,3.852505e-09,4.953137e-09,5.496137e-09,4.39691e-09,6.045751e-09,6.595364e-09,5.496137e-09,WV
54,39,10702,3,540390107023,Block Group 3,G5030,S,28980865.0,19388.0,38.4192275,-81.7028527,G54003900107023,WV,29000252.6696,27691.4625218,1.0465453104e-05,4.2655817e-08,6.9767145826e-05,5.3267395301e-05,1.5716819327e-05,5.3818290534e-05,1.6108051863e-05,5.033389427e-06,5.09225387e-06,5.086849607e-06,5.090472267e-06,2.441658669e-06,6.81789185e-07,6.6950831e-07,3.08300744e-06,3.703240639e-06,3.123223623e-06,7.204441738e-06,7.211436433e-06,7.203834718e-06,7.148147598e-06,7.145791642e-06,7.154148608e-06,WV
54,81,200,4,540810002004,Block Group 4,G5030,S,424913.0,0.0,37.7723566,-81.1820653,G54008100002004,WV,424913.463805,2666.78772956,30.282956146367244,25.23416532702901,20.71353946802342,23.196336760113727,20.908764609421617,22.101631757562604,20.52507753524865,21.335806465220355,22.756924115794416,19.840076939363776,24.326104935517524,21.684382667271187,21.03526747210257,23.856531932675747,21.846192661659757,24.352017110231877,23.89917750339888,26.454476684886657,28.440461286979133,26.315855313638274,36.358787490523675,33.726443844798354,29.883145971457527,WV
54,67,950400,1,540679504001,Block Group 1,G5030,S,44022535.0,497578.0,38.3190697,-80.7119754,G54006709504001,WV,44520115.7547,33989.7306906,3.03203e-10,9.256801584e-06,9.257376852e-06,3.465539e-09,9.256804042e-06,2.605914e-09,8.5137e-11,3.50504e-10,3.8499e-11,1.082205e-09,3.458325e-09,1.1081243e-08,1.1158303e-08,1.1241213e-08,1.1191558e-08,0.019156883228231,0.019574339055238,0.019169532629809,2.5329813596e-05,2.6195283525e-05,4.0571126029e-05,2.4641959431e-05,4.0571265673e-05,WV
54,55,1500,1,540550015001,Block Group 1,G5030,S,20576302.0,3241.0,37.3594584,-81.1868067,G54005500015001,WV,20579542.0724,26871.3802638,1.4882262631e-05,1.4884246548e-05,1.4884259982e-05,1.4884259943e-05,4.5625234714e-05,2.9179677948e-05,0.056023528729927,0.056022000317901,0.056022069753478,0.121623975959903,0.056007489867298,0.055993193008739,1.5305598628e-05,0.002279001736713,0.002334095262975,0.002334095595809,0.002408663850287,0.016738500090026,0.016738500823654,0.050292857262064,0.050356693842651,0.048148194992668,0.050277462905279,WV
54,99,21000,3,540990210003,Block Group 3,G5030,S,83481984.0,0.0,37.9248139,-82.3894477,G54009900210003,WV,83481999.7506,57776.6390383,1.471919592e-06,1.343926683e-06,1.40792314e-06,1.02394421e-06,1.023944053e-06,1.023944048e-06,7.3000125e-08,7.300008e-08,7.3000114e-08,7.2999991e-08,7.3000033e-08,7.2999989e-08,7.2999857e-08,7.3000033e-08,7.3000105e-08,7.3000111e-08,1.45999645e-07,1.4599969e-07,9.98844664e-07,9.25844108e-07,7.76960952e-07,5.75971706e-07,8.31976349e-07,WV
54,59,957100,2,540599571002,Block Group 2,G5030,S,119763479.0,0.0,37.8830766,-82.2881327,G54005909571002,WV,119763508.843,70500.8644318,3.1467e-11,3.1467e-11,3.1467e-11,6.2933e-11,6.2933e-11,6.2933e-11,6.2944e-11,6.2944e-11,3.1472e-11,3.1472e-11,3.1472e-11,0.0,0.0,3.1472e-11,3.1472e-11,3.1472e-11,3.1472e-11,3.1472e-11,3.1472e-11,0.0,6.267e-12,6.267e-12,6.267e-12,WV
54,99,20900,3,540990209003,Block Group 3,G5030,S,37896227.0,16035.0,38.1775117,-82.4400369,G54009900209003,WV,37912265.108,34366.817273,6.06709e-10,2.62372e-10,2.93986e-10,3.18353e-10,3.11668e-10,3.36033e-10,1.55569e-10,1.49938e-10,1.47071e-10,1.41255e-10,1.44163e-10,1.41212e-10,1.4412e-10,8.4359434e-08,8.4318568e-08,8.4329083e-08,8.215461e-08,8.4724314e-08,8.4747696e-08,8.4823218e-08,8.5178882e-08,8.5234387e-08,8.5248019e-08,WV
54,99,20500,3,540990205003,Block Group 3,G5030,S,47638276.0,1815114.0,38.2931156,-82.3781479,G54009900205003,WV,49453394.0758,41282.983249,1.3013146e-08,5.793727e-09,2.956496e-09,2.956554e-09,2.7224912e-08,2.8618415e-08,1.4265067e-08,1.5412836e-08,3.0629851e-08,7.0594177e-08,7.0537315e-08,1.40379406e-07,1.34351737e-07,6.9340132e-08,9.5433012e-08,1.0036241e-07,1.00311784e-07,1.32074733e-07,1.29601288e-07,1.34746487e-07,1.32551311e-07,1.61484644e-07,1.65672506e-07,WV
54,99,5200,1,540990052001,Block Group 1,G5030,S,596392.0,0.0,38.4018191,-82.5013823,G54009900052001,WV,596391.22118,4407.14959603,10.84947031333818,11.66545817898483,9.807415134821586,9.674551534938884,8.609581109610712,10.175364896335283,11.657745440189927,12.811960500039731,12.920423682323396,16.4682932882697,14.880907324895253,12.170076081110713,13.424552750806392,15.991071792552717,8.095412626429829,15.508278874563654,16.613872728378478,22.424705191220504,16.92680497730391,16.854602490037664,15.026519368301402,11.9892394908688,13.630667080786576,WV
54,59,957400,3,540599574003,Block Group 3,G5030,S,1069578.0,0.0,37.6745696,-82.289888,G54005909574003,WV,1069577.58886,6443.74236463,13.488822111317772,13.022735137614305,12.883278498056814,13.338845435456786,11.551391817150447,11.849032503074373,9.844554652960632,10.629941423761366,10.515597060922982,10.277052053026765,9.232273123673988,11.241947550716937,11.673765793906853,11.798158753935594,10.24335898503902,14.1927029804388,13.703990017192352,15.863699207240847,18.301952918726567,15.770529051142924,17.03879457569623,14.240787799215228,15.627148231003796,WV
54,59,957600,2,540599576002,Block Group 2,G5030,S,58714091.0,161067.0,37.6016373,-81.987573,G54005909576002,WV,58875167.7052,44493.3089958,7.4919878e-08,1.12379817e-07,7.4919878e-08,7.4919878e-08,7.4919878e-08,7.4919878e-08,3.67e-13,3.67e-13,3.67e-13,1.83e-13,1.83e-13,1.83e-13,1.83e-13,1.94e-13,1.94e-13,3.64e-13,3.4e-13,1.83e-13,3.7473464e-08,0.0,0.0,0.0,0.0,WV
